Student_ID,Student_Name,Study_Hours,Attendance,Assignment_Score,Previous_Score,Participation,Final_Score
1,Christopher Kane,3.2,59,72,58,1,51
2,Andrea Reeves,9.1,96,86,89,8,89
3,Nicole Terry,7.6,61,58,72,5,64
4,Gabriel Smith,2.3,99,69,62,7,66
5,Virginia Carlson,4.7,92,58,37,8,62
6,Kimberly Carter,7.0,92,82,75,9,81
7,James Harrison,9.7,77,54,55,1,64
8,Tracy Norris,7.6,61,43,84,1,59
9,Christy Fitzpatrick,6.6,76,53,35,4,56
10,Sharon Nunez,4.5,89,71,80,5,70
11,Samantha Murray,6.9,90,60,42,10,69
12,Lauren Brown,9.7,95,49,98,10,85
13,Richard Bennett,7.2,53,61,59,10,64
14,Anne Matthews,5.8,61,58,93,9,68
15,Matthew Williams,3.9,74,47,59,3,52
16,Taylor Hall,3.5,91,63,57,4,60
17,Rhonda Lopez MD,8.5,89,55,95,7,79
18,Jasmine Mullins,3.2,60,59,39,1,44
19,Jennifer Reed,1.9,92,79,42,8,62
20,Beth Murphy,3.6,86,65,83,2,63
21,Jennifer Mclaughlin,3.9,68,71,72,9,65
22,Morgan Allison,7.4,71,77,89,6,75
23,Roy Fernandez,8.5,65,49,75,7,67
24,Jennifer Blair,3.3,94,71,37,7,62
25,Timothy Novak,4.6,84,74,39,7,63
26,Daniel Romero,3.8,52,77,36,3,50
27,Kimberly Johnson,9.1,54,91,80,10,80
28,John Tapia,7.7,69,46,74,2,60
29,Kelly Greene,8.5,51,56,50,8,61
30,Julia Harris,9.3,73,96,45,6,75
31,Austin Todd,1.2,90,87,36,4,57
32,Luis Rodriguez,8.6,52,91,59,8,72
33,Dr. Anna Ashley,5.9,56,76,74,3,62
34,Eric Bailey,8.8,63,63,55,4,64
35,Randy Long,5.1,80,58,87,4,66
36,Amber Edwards,3.9,66,95,46,7,64
37,Anthony Harris,5.1,77,73,74,9,71
38,Jeanette Myers,3.5,59,45,43,8,49
39,Lauren Hansen,5.7,90,54,98,7,74
40,Todd Greer,9.6,61,85,57,9,76
41,Corey Mcbride,7.9,58,100,58,6,72
42,Daniel Vance,9.1,65,65,100,10,80
43,John Holt,5.9,75,55,56,8,63
44,Ashley Castillo,7.8,83,92,95,7,85
45,Christina Johnson,4.7,99,53,53,5,63
46,Chad King,4.0,92,86,91,7,77
47,Cynthia Pearson,9.0,88,93,60,9,84
48,Jimmy Cole,9.1,80,42,84,2,67
49,Holly Petersen,4.2,50,85,56,2,55
50,Ms. Angela Harvey,5.4,85,76,89,7,75
51,Jack Strong,8.5,51,43,91,4,62
52,Nathaniel Clark,7.4,72,95,68,6,76
53,Stephanie Richardson,9.0,87,69,66,9,79
54,Joseph Walton,1.8,67,83,63,2,55
55,John Clay,3.1,85,54,84,6,63
56,Jerome Stewart,9.5,71,96,35,1,68
57,Kristen Miller,6.2,63,40,79,4,57
58,John Lopez,8.8,66,74,36,4,63
59,Stephanie Harmon,2.2,80,96,50,8,66
60,Aaron Fitzpatrick,3.5,76,64,89,3,62
61,Isaiah Rivera,5.3,98,64,96,9,79
62,Brian Fletcher,9.4,88,55,42,4,66
63,Kaitlyn Watson,3.2,83,60,60,7,61
64,Thomas Mendez,6.5,89,48,62,3,62
65,Linda Harrison,6.1,58,78,72,10,70
66,Julie Odonnell,7.1,75,87,81,2,72
67,Tom Gallagher,4.1,100,70,98,2,72
68,Rebecca Hansen,6.0,85,86,46,7,70
69,Kristin Brown,6.8,64,57,95,7,69
70,Alexis Farmer,4.2,60,46,85,8,59
71,Nicole Harrell,6.1,76,61,56,5,62
72,Brittany Kirk,8.4,73,99,68,1,74
73,Gregory Norris,7.0,66,48,54,4,57
74,Jesse Wheeler MD,6.8,50,94,94,3,71
75,Thomas Mccoy,7.1,94,99,93,3,84
76,Nicholas Flores,9.4,85,57,65,5,72
77,Christine Ashley,9.5,79,64,53,7,72
78,Devin Clark,4.7,54,84,64,2,58
79,Mrs. Emily Garcia,3.0,66,65,74,5,58
80,James Chavez,1.0,77,46,61,6,50
81,Charles Pierce,4.8,88,62,61,5,64
82,Tanner Long,4.8,90,86,65,2,68
83,Nancy Klein,4.2,66,49,64,7,56
84,Anthony Thompson,5.2,65,68,38,5,56
85,Heather Montes,3.5,100,63,36,7,61
86,Mark Boyd,4.2,60,74,44,10,60
87,Timothy Berry,9.6,65,91,67,5,76
88,Jason Bean,3.1,91,87,60,3,65
89,Ricardo Young,5.0,94,47,39,6,59
90,Michael Alvarez,5.9,82,71,71,7,71
91,Dustin Murray,4.2,81,74,41,1,56
92,Joseph Silva,1.1,59,77,74,9,60
93,Autumn Martinez,7.5,96,93,90,1,81
94,Larry Davies,6.2,100,97,97,7,88
95,Daryl Vega,9.0,55,56,99,9,74
96,Ricardo Mayer,5.0,80,88,53,1,63
97,Stacie Walker,2.2,68,43,87,9,58
98,Stacey Wilson,3.5,63,84,37,8,59
99,Robert Sanchez,4.4,89,47,67,1,57
100,Timothy Brooks,3.1,71,86,52,2,57
101,Sabrina Nelson,2.3,77,91,64,3,62
102,Tara Rogers,6.7,85,60,59,2,63
103,Mark Williams,2.3,100,73,57,7,66
104,John Allen,7.2,58,100,51,3,67
105,Lisa Scott,4.8,53,86,47,2,55
106,Anthony Brooks,4.5,73,40,65,6,56
107,Samuel Lewis,7.1,52,95,45,10,69
108,Michael Burns,2.9,53,82,72,1,54
109,Joe Baker,1.0,85,68,100,9,69
110,Dustin Buchanan,5.6,97,56,98,10,79
111,Michael Adams,8.7,68,57,57,7,67
112,Shawn Mclaughlin,2.3,75,75,66,4,59
113,Samantha Smith,4.5,97,92,55,9,76
114,Mrs. Margaret Williams,7.7,91,47,80,6,71
115,Donald Duncan,7.2,64,95,96,2,75
116,Tommy Williams,1.7,95,83,94,9,75
117,Jeremy Lee,6.1,73,98,77,3,73
118,Christina Clements,9.4,92,73,83,5,81
119,Miranda Vazquez,8.6,94,73,93,6,83
120,Samantha Gomez,3.2,90,79,83,9,74
121,Christopher Thompson,8.6,62,71,75,4,69
122,Thomas Richard,5.1,94,73,89,5,74
123,David Wilson,4.4,61,48,39,10,53
124,Amanda Pearson,2.1,78,98,95,8,75
125,Luke Molina,4.7,71,99,50,4,65
126,Nicole Gibson,9.2,73,48,45,8,65
127,Janet Jones,2.4,76,80,77,4,63
128,Joseph Dean,9.0,88,80,52,4,74
129,Paul Meadows,4.1,89,52,90,5,66
130,Randy Cole,2.8,99,74,81,5,70
131,Brandi Hansen,6.3,89,66,56,1,63
132,Jessica Brooks,1.7,70,51,62,1,47
133,Bruce Fields,7.3,50,47,58,6,56
134,Laura Johnson,1.5,86,86,86,10,73
135,Susan Grant,3.9,71,80,63,4,62
136,Robin Sandoval,1.7,61,74,75,9,61
137,Shannon Espinoza,9.9,85,72,63,9,80
138,Claudia Turner,7.5,67,67,71,6,68
139,Kelly Foley,5.0,100,57,42,10,67
140,Brittany Ramirez,5.2,66,88,47,1,59
141,Beth Fowler,9.7,100,95,90,5,91
142,Elizabeth Walker,1.5,64,52,60,10,54
143,Robert Solis,8.7,59,89,37,2,63
144,Lauren Ruiz,9.4,96,72,41,1,70
145,Edward Ray,9.0,65,65,75,3,68
146,Vanessa George,6.6,99,63,87,4,75
147,Alexis Orozco,7.1,96,74,79,2,74
148,Michael Wong,3.7,83,45,40,3,50
149,Thomas Wilson,9.4,61,67,83,1,68
150,Tiffany Washington,9.7,72,71,100,3,78
151,Mr. Jeffrey Ryan,1.4,97,83,51,10,68
152,Jessica Khan MD,6.9,88,94,43,1,68
153,Joseph Ferguson,1.2,51,57,87,2,48
154,Luke Cantu,7.5,86,55,47,1,60
155,Terry Robbins,8.7,92,69,47,8,75
156,Jessica Brown,8.2,55,74,81,5,69
157,Denise Wolf,8.5,77,49,53,6,65
158,Brianna Vega,3.1,81,49,57,5,55
159,Jacob Carter,5.2,74,89,88,3,71
160,Courtney Bradshaw,1.5,88,72,65,10,66
161,Christine Burgess,6.6,92,94,43,9,77
162,Clinton Robinson,4.6,63,59,99,9,68
163,Kristen Payne,8.2,95,43,40,7,65
164,Jessica Phillips,9.0,50,68,93,9,75
165,Nathan Ramos,8.6,100,71,41,3,71
166,Michael Conway,8.9,95,83,75,2,79
167,Taylor Williams,6.7,50,79,36,1,53
168,Paul Davis,6.4,52,96,65,3,65
169,Charles Boyd,8.2,80,49,36,5,60
170,Thomas Nelson,3.8,97,43,41,8,58
171,Kelly Li,6.1,66,74,42,8,63
