CustomerID,Name,Age,Gender,SubscriptionType,SubscriptionDate,LastLoginDate,TotalSessions,FeedbackScore,IsChurned
1,Mahesh Gupta_1,24,Male,Premium,18-01-2024,13-03-2026,113,2,0
2,Anika Chauhan_2,31,Female,Standard,29-09-2025,30-03-2026,36,3,1
3,Diya Kapoor_3,30,Female,Premium,18-01-2026,17-02-2026,254,3,0
4,Meera Kumar_4,47,Female,Basic,12-02-2026,22-04-2026,487,3,1
5,Shaurya Yadav_5,32,Female,Basic,29-07-2025,26-04-2026,315,2,0
6,Neha Jain_6,25,Other,Standard,23-02-2025,12-04-2026,483,1,1
7,Diya Sharma_7,66,Male,Standard,22-03-2025,20-01-2026,286,2,0
8,Vikas Iyer_8,58,Female,Basic,15-04-2024,06-02-2026,28,2,0
9,Reyansh Trivedi_9,36,Female,Standard,03-01-2024,21-01-2026,70,1,0
10,Rahul Kumar_10,38,Female,Premium,07-08-2025,26-02-2026,146,5,1
11,Amit Sharma_11,64,Female,Standard,23-10-2025,24-01-2026,365,5,1
12,Ankit Chauhan_12,55,Other,Basic,30-05-2024,14-03-2026,180,4,0
13,Aarav Pandya_13,19,Male,Premium,10-04-2025,10-04-2026,379,1,1
14,Anika Kulkarni_14,61,Other,Standard,08-12-2025,17-03-2026,202,4,0
15,Simran Pandya_15,43,Male,Basic,06-09-2024,27-01-2026,312,4,0
16,Simran Yadav_16,23,Female,Basic,18-04-2025,04-02-2026,246,5,0
17,Myra Agarwal_17,50,Other,Standard,01-08-2024,10-02-2026,343,1,1
18,Krishna Desai_18,67,Other,Premium,01-08-2025,20-03-2026,4,1,0
19,Riya Pandya_19,24,Other,Premium,01-11-2025,04-03-2026,279,5,0
20,Aditya Gupta_20,27,Female,Basic,04-04-2025,05-02-2026,64,5,1
21,Anika Menon_21,67,Other,Basic,03-12-2025,27-01-2026,92,5,1
22,Rahul Pandya_22,64,Male,Premium,29-08-2025,18-02-2026,156,5,0
23,Vihaan Gupta_23,48,Other,Standard,28-02-2026,14-03-2026,493,2,0
24,Alok Singh_24,33,Female,Basic,28-09-2024,05-03-2026,127,3,0
25,Kavya Yadav_25,34,Male,Standard,08-10-2024,19-02-2026,204,5,1
26,Aditya Kapoor_26,56,Female,Premium,18-04-2026,22-03-2026,78,3,0
27,Reyansh Kapoor_27,39,Other,Premium,04-02-2026,18-02-2026,158,3,0
28,Arjun Agarwal_28,58,Female,Basic,03-09-2023,23-02-2026,427,4,0
29,Anika Patel_29,25,Male,Basic,20-11-2024,24-02-2026,0,2,0
30,Anika Joshi_30,45,Other,Standard,08-01-2026,08-03-2026,95,2,0
31,Meera Gupta_31,64,Other,Basic,30-07-2024,31-01-2026,169,4,0
32,Anika Das_32,51,Other,Basic,26-10-2024,04-03-2026,493,5,1
33,Vikas Iyer_33,35,Male,Basic,19-02-2026,12-03-2026,375,3,1
34,Krishna Yadav_34,63,Male,Basic,09-07-2025,06-04-2026,342,3,1
35,Nisha Bansal_35,65,Other,Premium,17-05-2025,03-04-2026,74,2,0
36,Shaurya Kapoor_36,61,Other,Basic,22-07-2024,07-04-2026,205,3,1
37,Vikas Yadav_37,47,Male,Standard,24-06-2025,11-04-2026,168,3,1
38,Nisha Das_38,19,Male,Premium,16-03-2026,24-01-2026,448,5,0
39,Sneha Kapoor_39,35,Male,Basic,08-10-2024,18-01-2026,478,2,0
40,Pooja Chauhan_40,46,Male,Standard,20-10-2024,23-01-2026,147,4,1
41,Neha Pandya_41,59,Male,Basic,17-12-2023,22-01-2026,67,2,1
42,Rohan Pillai_42,19,Male,Basic,02-02-2026,11-03-2026,443,5,0
43,Shaurya Trivedi_43,51,Other,Premium,28-02-2026,29-01-2026,109,4,0
44,Pooja Agarwal_44,22,Other,Standard,15-05-2024,02-03-2026,368,3,1
45,Pari Jain_45,22,Male,Basic,18-02-2025,28-03-2026,104,2,1
46,Karan Verma_46,52,Female,Basic,22-10-2023,28-03-2026,282,5,1
47,Krishna Shah_47,63,Other,Basic,05-05-2025,24-01-2026,191,3,0
48,Sneha Chatterjee_48,20,Male,Standard,11-01-2025,10-02-2026,371,3,1
49,Arjun Iyer_49,51,Male,Basic,26-04-2025,01-04-2026,178,1,1
50,Kavya Mehta_50,34,Male,Standard,15-12-2023,23-02-2026,169,1,0
51,Suresh Trivedi_51,61,Female,Premium,03-06-2025,27-03-2026,476,5,1
52,Shaurya Desai_52,60,Male,Standard,17-08-2025,12-03-2026,438,4,1
53,Ishaan Iyer_53,20,Female,Premium,12-04-2026,08-02-2026,120,4,1
54,Arjun Naidu_54,21,Other,Premium,27-07-2025,13-04-2026,66,2,0
55,Ankit Verma_55,58,Other,Premium,22-09-2024,27-03-2026,465,3,1
56,Myra Kulkarni_56,43,Male,Standard,21-04-2026,11-02-2026,245,3,0
57,Saanvi Mishra_57,24,Other,Standard,13-02-2026,10-02-2026,446,4,1
58,Anika Sharma_58,58,Female,Standard,23-08-2024,20-01-2026,333,1,0
59,Arjun Verma_59,30,Other,Premium,17-08-2024,17-03-2026,400,4,1
60,Suresh Gupta_60,52,Male,Premium,01-10-2024,14-03-2026,6,4,1
61,Ishaan Agarwal_61,58,Male,Basic,31-10-2024,30-01-2026,96,3,1
62,Krishna Kapoor_62,55,Female,Standard,23-04-2025,29-03-2026,343,2,1
63,Aditya Joshi_63,27,Female,Standard,10-09-2025,04-04-2026,497,1,0
64,Ishaan Desai_64,53,Male,Basic,12-08-2023,16-03-2026,66,5,0
65,Diya Kapoor_65,19,Male,Standard,07-07-2024,01-03-2026,310,4,0
66,Aadhya Gupta_66,40,Male,Standard,02-04-2024,17-02-2026,285,2,0
67,Deepak Iyer_67,62,Female,Standard,25-08-2024,07-03-2026,136,2,0
68,Saanvi Desai_68,38,Male,Standard,23-10-2023,07-04-2026,278,3,0
69,Ira Kapoor_69,35,Female,Basic,10-03-2025,19-04-2026,371,1,0
70,Riya Shetty_70,26,Other,Premium,15-11-2024,24-03-2026,287,4,1
71,Ankit Mishra_71,62,Male,Basic,23-05-2025,03-03-2026,156,2,1
72,Saanvi Agarwal_72,21,Other,Basic,02-02-2025,08-03-2026,42,2,1
73,Kavya Trivedi_73,67,Male,Standard,17-01-2025,12-04-2026,191,5,1
74,Karan Trivedi_74,19,Other,Basic,14-10-2024,30-03-2026,410,1,1
75,Diya Naidu_75,33,Other,Premium,21-08-2025,27-03-2026,495,3,1
