CREATE TABLE Customer (
    CustomerID INT PRIMARY KEY,
    Name VARCHAR(100),
    Age INT,
    Gender VARCHAR(10),
    SubscriptionType VARCHAR(20),
    SubscriptionDate DATE,
    LastLoginDate DATE,
    TotalSessions INT,
    FeedbackScore INT,
    IsChurned INT
);



INSERT INTO Customer VALUES (1, 'Mahesh Gupta_1', 24, 'Male', 'Premium', '2024-01-18', '2026-03-13', 113, 2, 0);
INSERT INTO Customer VALUES (2, 'Anika Chauhan_2', 31, 'Female', 'Standard', '2025-09-29', '2026-03-30', 36, 3, 1);
INSERT INTO Customer VALUES (3, 'Diya Kapoor_3', 30, 'Female', 'Premium', '2026-01-18', '2026-02-17', 254, 3, 0);
INSERT INTO Customer VALUES (4, 'Meera Kumar_4', 47, 'Female', 'Basic', '2026-02-12', '2026-04-22', 487, 3, 1);
INSERT INTO Customer VALUES (5, 'Shaurya Yadav_5', 32, 'Female', 'Basic', '2025-07-29', '2026-04-26', 315, 2, 0);
INSERT INTO Customer VALUES (6, 'Neha Jain_6', 25, 'Other', 'Standard', '2025-02-23', '2026-04-12', 483, 1, 1);
INSERT INTO Customer VALUES (7, 'Diya Sharma_7', 66, 'Male', 'Standard', '2025-03-22', '2026-01-20', 286, 2, 0);
INSERT INTO Customer VALUES (8, 'Vikas Iyer_8', 58, 'Female', 'Basic', '2024-04-15', '2026-02-06', 28, 2, 0);
INSERT INTO Customer VALUES (9, 'Reyansh Trivedi_9', 36, 'Female', 'Standard', '2024-01-03', '2026-01-21', 70, 1, 0);
INSERT INTO Customer VALUES (10, 'Rahul Kumar_10', 38, 'Female', 'Premium', '2025-08-07', '2026-02-26', 146, 5, 1);
INSERT INTO Customer VALUES (11, 'Amit Sharma_11', 64, 'Female', 'Standard', '2025-10-23', '2026-01-24', 365, 5, 1);
INSERT INTO Customer VALUES (12, 'Ankit Chauhan_12', 55, 'Other', 'Basic', '2024-05-30', '2026-03-14', 180, 4, 0);
INSERT INTO Customer VALUES (13, 'Aarav Pandya_13', 19, 'Male', 'Premium', '2025-04-10', '2026-04-10', 379, 1, 1);
